id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket
"1639-N-1350-E,-Payson,-UT-84651","1639 N 1350 E, Payson, UT 84651",1639 N 1350 E,,Payson,UT,84651,Utah,40.067272,-111.709931,Townhouse,5.0,4.0,2090.0,871.0,2021.0,Inactive,430000,2024-03-24T00:00:00.000Z,2024-05-09T00:00:00.000Z,2020-10-07T12:24:03.121Z,2024-05-08T00:00:00.000Z,46
"275-S-Valley-View-Dr,-Apt-59,-Saint-George,-UT-84770","275 S Valley View Dr, Apt 59, Saint George, UT 84770",275 S Valley View Dr,Apt 59,Saint George,UT,84770,Washington,37.104154,-113.612776,Single Family,3.0,2.0,1467.0,2614.0,1990.0,Inactive,440000,2024-03-26T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-26T00:00:00.000Z,2024-05-08T00:00:00.000Z,44
"1533-S-Spring-Creek-Dr,-Lehi,-UT-84043","1533 S Spring Creek Dr, Lehi, UT 84043",1533 S Spring Creek Dr,,Lehi,UT,84043,Utah,40.369299,-111.853261,Single Family,5.0,3.0,2756.0,7841.0,2008.0,Inactive,664995,2024-03-28T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-28T00:00:00.000Z,2024-05-08T00:00:00.000Z,42
"113-E-Utah-Ave-N,-Tooele,-UT-84074","113 E Utah Ave N, Tooele, UT 84074",113 E Utah Ave N,,Tooele,UT,84074,Tooele,40.5347,-112.294958,Single Family,3.0,1.0,1292.0,9148.0,1912.0,Inactive,299900,2024-03-29T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-30T00:00:00.000Z,2024-05-08T00:00:00.000Z,41
"258-E-500-N,-Roosevelt,-UT-84066","258 E 500 N, Roosevelt, UT 84066",258 E 500 N,,Roosevelt,UT,84066,Duchesne,40.305852,-109.987962,Townhouse,3.0,1.5,1464.0,436.0,2008.0,Inactive,230000,2024-03-30T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-31T00:00:00.000Z,2024-05-08T00:00:00.000Z,40
"4096-W-Valley-Haven-Ct-S,-West-Valley-City,-UT-84120","4096 W Valley Haven Ct S, West Valley City, UT 84120",4096 W Valley Haven Ct S,,West Valley City,UT,84120,Salt Lake,40.669788,-111.98888,Townhouse,3.0,2.5,1512.0,3049.0,2000.0,Inactive,385000,2024-04-02T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-03T00:00:00.000Z,2024-05-08T00:00:00.000Z,37
"1221-E-Cottonwood-Dr,-Sandy,-UT-84094","1221 E Cottonwood Dr, Sandy, UT 84094",1221 E Cottonwood Dr,,Sandy,UT,84094,Salt Lake,40.603913,-111.85545,Condo,2.0,1.0,1146.0,436.0,1979.0,Inactive,332000,2024-04-03T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-06-30T08:24:59.172Z,2024-05-08T00:00:00.000Z,36
"2004-E-Terra-Linda-Dr,-Holladay,-UT-84124","2004 E Terra Linda Dr, Holladay, UT 84124",2004 E Terra Linda Dr,,Holladay,UT,84124,Salt Lake,40.676326,-111.83402,Single Family,5.0,1.5,3084.0,9148.0,1955.0,Inactive,745000,2024-04-03T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-04T00:00:00.000Z,2024-05-08T00:00:00.000Z,36
"541-N-1400-E,-Heber-City,-UT-84032","541 N 1400 E, Heber City, UT 84032",541 N 1400 E,,Heber City,UT,84032,Wasatch,40.514221,-111.392619,Single Family,6.0,3.5,3653.0,11761.0,2018.0,Inactive,1400000,2024-04-04T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-05-20T13:06:52.300Z,2024-05-08T00:00:00.000Z,35
"10232-S-360-E,-Sandy,-UT-84070","10232 S 360 E, Sandy, UT 84070",10232 S 360 E,,Sandy,UT,84070,Salt Lake,40.565511,-111.881412,Single Family,4.0,2.0,1788.0,9583.0,1973.0,Inactive,589000,2024-04-04T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-05T00:00:00.000Z,2024-05-08T00:00:00.000Z,35
"1082-W-1900-S,-Spanish-Fork,-UT-84660","1082 W 1900 S, Spanish Fork, UT 84660",1082 W 1900 S,,Spanish Fork,UT,84660,Utah,40.086022,-111.674297,Land,,,,269636.0,,Inactive,920000,2024-04-04T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-05T00:00:00.000Z,2024-05-08T00:00:00.000Z,35
"11086-S-Grape-Arbor-Pl,-Unit-D5-104,-Sandy,-UT-84070","11086 S Grape Arbor Pl, Unit D5-104, Sandy, UT 84070",11086 S Grape Arbor Pl,Unit D5-104,Sandy,UT,84070,Salt Lake,40.5499,-111.873512,Condo,2.0,1.0,1104.0,436.0,2008.0,Inactive,299999,2024-04-05T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-06T00:00:00.000Z,2024-05-08T00:00:00.000Z,34
"1084-W-Stonehaven-Dr-N,-North-Salt-Lake,-UT-84054","1084 W Stonehaven Dr N, North Salt Lake, UT 84054",1084 W Stonehaven Dr N,,North Salt Lake,UT,84054,Davis,40.857316,-111.94017,Single Family,4.0,3.0,2057.0,3049.0,2013.0,Inactive,529990,2024-04-09T00:00:00.000Z,2024-05-09T00:00:00.000Z,2020-09-16T15:11:32.605Z,2024-05-08T00:00:00.000Z,30
"3551-E-Millcreek-Rd,-Salt-Lake-City,-UT-84109","3551 E Millcreek Rd, Salt Lake City, UT 84109",3551 E Millcreek Rd,,Salt Lake City,UT,84109,Salt Lake,40.69293,-111.793916,Single Family,6.0,3.5,5726.0,23958.0,2002.0,Inactive,1675000,2024-04-10T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-09-10T00:00:00.000Z,2024-05-08T00:00:00.000Z,29
"308-E-La-Vera-Ln,-Sandy,-UT-84070","308 E La Vera Ln, Sandy, UT 84070",308 E La Vera Ln,,Sandy,UT,84070,Salt Lake,40.545311,-111.881501,Single Family,5.0,3.0,2738.0,8276.0,2003.0,Inactive,685000,2024-04-10T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-04-10T00:00:00.000Z,2024-05-08T00:00:00.000Z,29
